"plot","year","month","day","time","temp"
1111,2018,10,18,"04:30",0.56
1111,2018,10,18,"06:00",0.56
1111,2018,10,18,"07:30",0.56
1111,2018,10,18,"09:00",0.56
1111,2018,10,18,"10:30",0.56
1111,2018,10,18,"12:00",0.56
1111,2018,10,18,"13:30",0.56
1111,2018,10,18,"15:00",0.67
1111,2018,10,18,"16:30",0.67
1111,2018,10,18,"18:00",0.78
1111,2018,10,18,"19:30",0.78
1111,2018,10,18,"21:00",0.78
1111,2018,10,18,"22:30",0.78
1111,2018,10,19,"00:00",0.78
1111,2018,10,19,"01:30",0.78
1111,2018,10,19,"03:00",0.78
1111,2018,10,19,"04:30",0.78
1111,2018,10,19,"06:00",0.78
1111,2018,10,19,"07:30",0.78
1111,2018,10,19,"09:00",0.67
1111,2018,10,19,"10:30",0.67
1111,2018,10,19,"12:00",0.67
1111,2018,10,19,"13:30",0.78
1111,2018,10,19,"15:00",0.78
1111,2018,10,19,"16:30",0.78
1111,2018,10,19,"18:00",1.11
1111,2018,10,19,"19:30",1
1111,2018,10,19,"21:00",1
1111,2018,10,19,"22:30",1
1111,2018,10,20,"00:00",0.89
1111,2018,10,20,"01:30",0.89
1111,2018,10,20,"03:00",0.89
1111,2018,10,20,"04:30",0.89
1111,2018,10,20,"06:00",0.78
1111,2018,10,20,"07:30",0.78
1111,2018,10,20,"09:00",0.78
1111,2018,10,20,"10:30",0.78
1111,2018,10,20,"12:00",0.78
1111,2018,10,20,"13:30",0.78
1111,2018,10,20,"15:00",0.89
1111,2018,10,20,"16:30",1.22
1111,2018,10,20,"18:00",1.87
1111,2018,10,20,"19:30",1.66
1111,2018,10,20,"21:00",1.44
1111,2018,10,20,"22:30",1.33
1111,2018,10,21,"00:00",1.22
1111,2018,10,21,"01:30",1.11
1111,2018,10,21,"03:00",1.11
1111,2018,10,21,"04:30",1
1111,2018,10,21,"06:00",1
1111,2018,10,21,"07:30",1
1111,2018,10,21,"09:00",0.89
1111,2018,10,21,"10:30",1
1111,2018,10,21,"12:00",1
1111,2018,10,21,"13:30",1
1111,2018,10,21,"15:00",1.76
1111,2018,10,21,"16:30",3.16
1111,2018,10,21,"18:00",4.1
1111,2018,10,21,"19:30",4.1
1111,2018,10,21,"21:00",3.89
1111,2018,10,21,"22:30",3.58
1111,2018,10,22,"00:00",3.37
1111,2018,10,22,"01:30",3.26
1111,2018,10,22,"03:00",3.16
1111,2018,10,22,"04:30",3.16
1111,2018,10,22,"06:00",2.84
1111,2018,10,22,"07:30",2.3
1111,2018,10,22,"09:00",1.98
1111,2018,10,22,"10:30",2.09
1111,2018,10,22,"12:00",2.62
1111,2018,10,22,"13:30",3.68
1111,2018,10,22,"15:00",5.24
1111,2018,10,22,"16:30",5.96
1111,2018,10,22,"18:00",6.17
1111,2018,10,22,"19:30",5.96
1111,2018,10,22,"21:00",5.55
1111,2018,10,22,"22:30",5.24
1111,2018,10,23,"00:00",5.04
1111,2018,10,23,"01:30",5.04
1111,2018,10,23,"03:00",5.04
1111,2018,10,23,"04:30",4.31
1111,2018,10,23,"06:00",3.89
1111,2018,10,23,"07:30",3.89
1111,2018,10,23,"09:00",3.89
1111,2018,10,23,"10:30",4.62
1111,2018,10,23,"12:00",5.66
1111,2018,10,23,"13:30",6.78
1111,2018,10,23,"15:00",7.68
1111,2018,10,23,"16:30",7.98
1111,2018,10,23,"18:00",7.78
1111,2018,10,23,"19:30",6.88
